Stc Person Id,Swu Stu Ant Cmpl Dates ,Swu Grad Date ,Stc Term ,Stc Course Name,Internship,CEL Course,SCOPE 300,Scs Location,DC/LN
3347020,22-May,,19/S3,UST05-300,,,Y,,
3331842,21-May,,18/FA,CSC54-414,,Y,,,
3330811,20-May,,19/SP,KIN48-943,Y,,,,
3326631,,19-May,19/SP,COM75-944,Y,,,,
3336394,20-May,,19/SP,SPA15-164,,Y,,,
3340670,21-May,,18/FA,PSC32-114,,Y,,,
3318229,,19-May,19/SP,BUS30-944,Y,,,,
3318229,,19-May,19/SP,BUS30-944,Y,,,,
3341571,21-May,,19/SP,SPA15-164,,Y,,,
3348547,22-May,,19/S3,COM75-944,Y,,,,
3329005,,19-Aug,19/S2,SPA15-164,,Y,,,
3342607,,,19/SP,PSC32-114,,Y,,,
3324141,,19-May,19/SP,PSY33-948,Y,,,,
3342835,22-May,,18/FA,SPA15-164,,Y,,,
3338528,21-May,,18/FA,EDU40-234,,Y,,,
3342096,21-May,,18/FA,SPA15-164,,Y,,,
3342675,21-May,,19/SP,KIN48-944,Y,,,,
3339707,21-Dec,,19/SP,SPA15-164,,Y,,,
3339506,21-May,,19/SP,SPA15-164,,Y,,,
3325831,,19-May,18/FA,CSC54-414,,Y,,,
3348815,22-May,,19/SP,SPA15-164,,Y,,,
3350222,22-May,,18/FA,EDU40-113,,Y,,,
3350222,22-May,,19/SP,EDU40-144,,Y,,,
3341699,21-May,,18/FA,EDU40-113,,Y,,,
3341699,21-May,,19/SP,EDU40-144,,Y,,,
3333358,20-May,,19/SP,KIN48-944,Y,,,,
3332483,20-May,,19/S3,PSY33-948,Y,,,,
3341208,21-May,,19/SP,SPA15-164,,Y,,,
3322837,,19-Aug,19/SP,SPA15-164,,Y,,,
3331860,20-May,,18/FA,BUS30-394,,,,LN,Y
3331860,20-May,,18/FA,BUS30-584,,,,LN,Y
3331860,20-May,,18/FA,UST05-224,,,,LN,Y
3331860,20-May,,18/FA,BUS30-944,Y,,,,
3331860,20-May,,19/SP,SPA15-164,,Y,,,
3339932,21-May,,18/FA,BUS30-394,,,,LN,Y
3339932,21-May,,18/FA,ENG10-304,,,,LN,Y
3339932,21-May,,18/FA,UST05-224,,,,LN,Y
3339932,21-May,,18/FA,ENG10-944,Y,,,,
3331708,20-May,,19/S3,SPA15-364,,,,GR,
3331708,20-May,,19/S3,SPA15-314,,,,GR,
3331203,20-May,,19/S3,PSY33-948,Y,,,,
3332328,20-May,,19/SP,PSC32-114,,Y,,,
3344064,21-May,,18/FA,SPA15-164,,Y,,,
3351043,22-May,,19/S3,ARH71-943,Y,,,,
3326230,,19-May,18/FA,UST05-303,,,,DC,Y
3326230,,19-May,18/FA,PSC32-224,,,,DC,Y
3326230,,19-May,18/FA,PSC32-948,Y,,,,
3332252,20-May,,18/FA,MAT52-414,,Y,,,
3332252,20-May,,19/S3,UST05-300,,,Y,,
3338530,21-May,,18/FA,EDU40-234,,Y,,,
3338530,21-May,,18/FA,COM75-942,Y,,,,
3338530,21-May,,19/SP,EDU40-144,,Y,,,
3338530,21-May,,19/SP,SPA15-304,,Y,,,
3338530,21-May,,19/SP,ANT35-941,Y,,,,
3331622,20-May,,18/FA,BUS30-394,,,,LN,Y
3331622,20-May,,18/FA,BUS30-584,,,,LN,Y
3331622,20-May,,18/FA,ENG10-304,,,,LN,Y
3331622,20-May,,18/FA,UST05-224,,,,LN,Y
3350034,22-May,,18/FA,PSC32-114,,Y,,,
3344213,,,19/SP,SPA15-164,,Y,,,
3340318,21-May,,19/S3,BUS30-584,,,,GR,
3340318,21-May,,19/S3,SPA15-314,,,,GR,
3343458,21-May,,18/FA,BUS30-414,,Y,,,
3333094,20-Dec,,19/SP,PSC32-114,,Y,,,
3323783,,19-May,18/FA,COM75-944,Y,,,,
3323783,,19-May,19/SP,UST05-302,,Y,,,
3323783,,19-May,19/SP,COM75-944,Y,,,,
3323736,,19-May,19/SP,BUS30-941,Y,,,,
3342013,21-May,,18/FA,SPA15-164,,Y,,,
3342013,21-May,,18/FA,EDU40-234,,Y,,,
3342013,21-May,,18/FA,EDU40-942,Y,,,,
3348654,22-May,,19/SP,SPA15-164,,Y,,,
3333164,20-May,,18/FA,BUS30-394,,,,LN,Y
3333164,20-May,,18/FA,ENG10-304,,,,LN,Y
3333164,20-May,,18/FA,UST05-224,,,,LN,Y
3333164,20-May,,18/FA,SOC34-944,Y,,,,
3326292,,19-May,18/FA,EDU40-234,,Y,,,
3326292,,19-May,19/SP,KIN48-944,Y,,,,
3341173,,,19/SP,SPA15-304,,Y,,,
3332279,,19-May,18/FA,CSC54-414,,Y,,,
2909035,,19-Aug,18/FA,BUS30-944,Y,,,,
3339231,21-May,,19/SP,EDU40-234,,Y,,,
3329699,21-May,,19/SP,SPA15-164,,Y,,,
3342084,21-May,,18/FA,EDU40-113,,Y,,,
3342084,21-May,,18/FA,EDU40-234,,Y,,,
3341870,21-May,,19/SP,PSC32-114,,Y,,,
3349146,,,19/SP,SPA15-164,,Y,,,
3328444,,19-May,18/FA,BUS30-584,,,,LN,Y
3328444,,19-May,18/FA,BUS30-394,,,,LN,Y
3328444,,19-May,18/FA,HIS16-304,,,,LN,Y
3328444,,19-May,18/FA,UST05-224,,,,LN,Y
3344922,20-May,,18/FA,MAT52-414,,Y,,,
3341453,21-May,,18/FA,EDU40-234,,Y,,,
3340741,21-May,,19/SP,SPA15-304,,Y,,,
3339450,21-May,,19/S1,SPA15-164,,Y,,,
2889701,21-May,,19/SP,SPA15-164,,Y,,,
3327051,,19-May,18/FA,EDU40-234,,Y,,,
3350199,22-May,,18/FA,SPA15-734,,Y,,,
3343043,21-May,,19/SP,EDU40-144,,Y,,,
3359128,21-May,,19/SP,EDU40-264,,Y,,,
3332636,20-May,,19/SP,THE72-804,,Y,,,
3350059,22-May,,18/FA,EDU40-113,,Y,,,
3350059,22-May,,19/SP,EDU40-144,,Y,,,
2903991,20-May,,18/FA,EDU40-514,,Y,,,
2903991,20-May,,19/SP,EDU40-524,,Y,,,
3325219,,19-Aug,19/SP,COM75-942,Y,,,,
3325219,,19-Aug,19/S1,SPA15-164,,Y,,,
3325219,,19-Aug,19/S2,THE72-304,,Y,,,
3330738,20-May,,18/FA,EDU40-514,,Y,,,
3330738,20-May,,18/FA,SPA15-734,,Y,,,
3330738,20-May,,19/SP,EDU40-524,,Y,,,
3330375,20-May,,19/S3,UST05-300,,,Y,,
3324552,,19-May,19/SP,EDU40-264,,Y,,,
3348371,22-May,,19/SP,SPA15-164,,Y,,,
3348371,22-May,,19/SP,PSC32-114,,Y,,,
3342269,21-May,,19/SP,SPA15-164,,Y,,,
3348015,21-May,,18/FA,SPA15-164,,Y,,,
3349456,22-May,,18/FA,PSC32-114,,Y,,,
3322032,,19-May,18/FA,EDU40-234,,Y,,,
3343495,21-May,,19/SP,SPA15-164,,Y,,,
3343720,21-May,,19/SP,SPA15-164,,Y,,,
3333509,20-May,,18/FA,SPA15-164,,Y,,,
3321892,,18-Dec,18/FA,PSY33-948,Y,,,,
3353791,20-Aug,,19/S1,SPA15-164,,Y,,,
3340117,21-May,,19/SP,SPA15-164,,Y,,,
3333403,,19-Dec,19/SP,THE72-804,,Y,,,
3324081,,18-Dec,18/FA,ENV49-944,Y,,,,
3326639,,19-Aug,18/FA,BUS30-584,,,,LN,Y
3326639,,19-Aug,18/FA,ENG10-304,,,,LN,Y
3326639,,19-Aug,18/FA,UST05-224,,,,LN,Y
3326639,,19-Aug,18/FA,BUS30-944,Y,,,,
3335684,20-May,,19/SP,THE72-804,,Y,,,
3331119,20-Aug,,19/SP,PSC32-114,,Y,,,
3331119,20-Aug,,19/S2,SPA15-164,,Y,,,
3341506,21-May,,19/SP,LAS06-304,,Y,,,
3321158,20-May,,18/FA,BUS30-584,,,,LN,Y
3321158,20-May,,18/FA,UST05-224,,,,LN,Y
3321158,20-May,,18/FA,SPA15-304,,,,LN,Y
3321158,20-May,,18/FA,BUS30-944,Y,,,,
3344275,21-May,,19/SP,SPA15-164,,Y,,,
3331410,20-May,,19/SP,THE72-804,,Y,,,
3324011,,19-May,18/FA,THE72-114,,,,LN,Y
3324011,,19-May,18/FA,BUS30-394,,,,LN,Y
3324011,,19-May,18/FA,ENG10-304,,,,LN,Y
3324011,,19-May,18/FA,UST05-224,,,,LN,Y
3324011,,19-May,19/SP,SPA15-164,,Y,,,
3327818,,18-Dec,18/FA,COM75-944,Y,,,,
3331348,,19-Dec,19/SP,PSC32-944,Y,,,,
3349412,,,18/FA,SPA15-164,,Y,,,
3343714,,,18/FA,UST05-942,Y,,,,
3349545,22-May,,19/SP,EDU40-234,,Y,,,
3349545,22-May,,19/S2,THE72-304,,Y,,,
3347230,22-May,,19/S3,UST05-300,,,Y,,
3350573,20-May,,19/SP,EDU40-234,,Y,,,
3333118,20-May,,19/SP,BUS30-944,Y,,,,
3333118,20-May,,19/S3,COM75-303,,,,ECE,
3333118,20-May,,19/S3,PSY33-303,,,,ECE,
3326918,,19-May,19/SP,PSC32-224,,,,DC,Y
3326918,,19-May,19/SP,UST05-303,,,,DC,Y
3326918,,19-May,19/SP,PSC32-948,Y,,,,
3349294,22-May,,19/SP,SPA15-164,,Y,,,
3345275,,19-Dec,18/FA,MAT52-414,,Y,,,
3334615,20-May,,18/FA,BUS30-394,,,,LN,Y
3334615,20-May,,18/FA,COM75-304,,,,LN,Y
3334615,20-May,,18/FA,ENG10-304,,,,LN,Y
3334615,20-May,,18/FA,UST05-224,,,,LN,Y
3350934,22-May,,19/SP,SPA15-164,,Y,,,
3350934,22-May,,19/S3,SPA15-364,,,,GR,
3350934,22-May,,19/S3,SPA15-314,,,,GR,
3343984,21-May,,18/FA,SPA15-164,,Y,,,
3343984,21-May,,19/SP,PSC32-114,,Y,,,
834078,20-May,,18/FA,EDU40-514,,Y,,,
3352824,22-May,,19/SP,SPA15-164,,Y,,,
3342178,,,19/S3,UST05-300,,,Y,,
3332937,20-May,,18/FA,SPA15-734,,Y,,,
3332937,20-May,,19/S3,BUS30-944,Y,,,,
3346226,22-May,,19/SP,SPA15-164,,Y,,,
3331554,20-May,,18/FA,BUS30-584,,,,LN,Y
3331554,20-May,,18/FA,COM75-304,,,,LN,Y
3331554,20-May,,18/FA,BUS30-944,Y,,,,
3331554,20-May,,18/FA,UST05-224,,,,LN,Y
3331554,20-May,,19/SP,SPA15-164,,Y,,,
3314443,20-May,,18/FA,SPA15-164,,Y,,,
3324868,,19-May,18/FA,EDU40-234,,Y,,,
3324868,,19-May,19/SP,PSC32-114,,Y,,,
3330547,21-May,,18/FA,SPA15-164,,Y,,,
3349577,22-May,,19/SP,PSC32-114,,Y,,,
3341761,20-Dec,,18/FA,SPA15-164,,Y,,,
3340636,,,18/FA,PSC32-114,,Y,,,
3340636,,,18/FA,SPA15-164,,Y,,,
3339167,21-May,,18/FA,SPA15-164,,Y,,,
3339167,21-May,,19/SP,PSC32-114,,Y,,,
2913039,20-May,,19/S3,ANB09-944,Y,,,,
3348617,22-May,,18/FA,SPA15-164,,Y,,,
3348617,22-May,,19/SP,EDU40-144,,Y,,,
3333802,20-May,,19/S3,UST05-300,,,Y,,
3323236,,19-May,18/FA,PSC32-114,,Y,,,
3323236,,19-May,19/SP,UST05-302,,Y,,,
3323236,,19-May,19/SP,ENV49-943,Y,,,,
3323236,,19-May,19/SP,ENV49-943,Y,,,,
3347274,22-May,,19/SP,PSC32-114,,Y,,,
3351584,22-May,,19/SP,UST05-302,,Y,,,
3351584,22-May,,19/S3,ECO31-944,Y,,,,
3351584,22-May,,19/S3,ECO31-944,Y,,,,
2915252,22-May,,19/SP,SPA15-164,,Y,,,
2915252,22-May,,19/S3,BUS30-584,,,,GR,
2915252,22-May,,19/S3,SPA15-314,,,,GR,
3338905,20-Dec,,19/SP,PSC32-114,,Y,,,
3340264,20-Dec,,18/FA,SPA15-164,,Y,,,
2903245,22-May,,19/S3,SPA15-154,,,,BA,
2903245,22-May,,19/S3,SPA15-164,,Y,,BA,
3331760,20-May,,18/FA,SPA15-164,,Y,,,
3324163,,19-May,18/FA,SPA15-164,,Y,,,
3324016,,19-May,18/FA,BUS30-944,Y,,,,
3335673,20-May,,19/SP,PSC32-114,,Y,,,
3350013,22-May,,18/FA,PSC32-114,,Y,,,
3322952,,19-May,18/FA,MAT52-414,,Y,,,
3347836,22-May,,19/SP,SPA15-164,,Y,,,
3346875,20-May,,19/S1,SPA15-164,,Y,,,
3342031,21-May,,19/S3,SPA15-154,,,,BA,
3342031,21-May,,19/S3,SPA15-164,,Y,,BA,
3339898,21-May,,18/FA,SPA15-164,,Y,,,
3339898,21-May,,19/SP,EDU40-144,,Y,,,
3339898,21-May,,19/S3,PSY33-303,,,,ECE,
3339898,21-May,,19/S3,COM75-303,,,,ECE,
3341390,21-May,,19/SP,SPA15-164,,Y,,,
3347278,21-Dec,,19/SP,SPA15-164,,Y,,,
3347278,21-Dec,,19/S3,SPA15-364,,,,GR,
3347278,21-Dec,,19/S3,SPA15-314,,,,GR,
3333144,20-May,,19/SP,SPA15-164,,Y,,,
3350142,22-May,,18/FA,PSC32-114,,Y,,,
3321992,,19-Dec,18/FA,SPA15-734,,Y,,,
3321992,,19-Dec,19/SP,SPA15-304,,Y,,,
3346228,22-May,,18/FA,PSC32-114,,Y,,,
3339768,21-May,,19/S3,UST05-300,,,Y,,
3338627,21-May,,18/FA,EDU40-113,,Y,,,
3338627,21-May,,19/SP,EDU40-144,,Y,,,
3338543,21-May,,18/FA,SPA15-164,,Y,,,
3338543,21-May,,19/S3,SPA15-364,,,,GR,
3338543,21-May,,19/S3,SPA15-314,,,,GR,
3341764,21-May,,19/SP,SPA15-164,,Y,,,
3324467,,19-May,19/SP,ENV49-944,Y,,,,
3351770,,,19/SP,EDU40-234,,Y,,,
