@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3331718,M,WHI,,16/FA,,
3339968,M,AS,,18/FA,,
3350865,F,WHI,,,18/FA,
3347020,F,HIS,Y,18/FA,,Y
3332501,F,WHI,,16/FA,,
3331842,M,MUL,Y,16/FA,,
3334814,F,WHI,,16/FA,,
3340444,M,HIS,,17/FA,,
3330811,F,WHI,,16/FA,,
3350075,F,WHI,,18/FA,,
3326631,F,WHI,,15/FA,,
3336394,M,WHI,,,17/FA,
3350854,M,WHI,,18/FA,,
3346292,F,AS,,,17/FA,Y
3322019,F,WHI,,15/FA,,
3350601,M,WHI,Y,18/FA,,Y
3331166,M,HIS,Y,16/FA,,Y
3340670,M,HIS,,17/FA,,
3318229,M,WHI,,14/FA,,
3332424,M,WHI,,16/FA,,
3341571,F,WHI,,17/FA,,
3338658,F,WHI,,,17/SP,
3348547,M,WHI,,18/FA,,
3329005,M,WHI,,15/FA,,
3342607,M,WHI,,17/FA,,
3325213,F,WHI,,15/FA,,
3324141,F,HIS,,15/FA,,Y
3347848,F,HIS,Y,18/FA,,Y
3341846,M,HIS,Y,17/FA,,Y
3342835,M,HIS,Y,17/FA,,
3338528,M,WHI,,17/FA,,Y
3354540,F,HIS,Y,,18/FA,
3334437,F,WHI,,16/FA,,
3342096,F,WHI,Y,17/FA,,
3342675,M,WHI,,17/FA,,
3335934,F,BL,,16/FA,,Y
3339707,F,WHI,,17/FA,,
3324433,F,WHI,,,17/SP,
3326790,M,WHI,,15/FA,,
3348684,M,BL,,18/FA,,
3339506,M,HIS,,17/FA,,Y
3333483,M,WHI,,16/FA,,
3349896,F,HIS,Y,18/FA,,Y
3325831,M,WHI,,15/FA,,
3350213,F,HIS,Y,18/FA,,Y
3348815,F,WHI,,18/FA,,
3346217,F,WHI,,18/FA,,
3350491,M,MUL,Y,18/FA,,Y
3347173,M,WHI,,18/FA,,
3348782,M,WHI,,18/FA,,
3324352,F,NRA,,15/FA,,
3052616,M,WHI,,14/FA,,
3350222,F,WHI,Y,18/FA,,Y
3343681,F,HIS,Y,17/FA,,
3341699,M,HIS,Y,17/FA,,Y
3349523,F,WHI,,18/FA,,
3333358,F,AS,Y,16/FA,,
3332483,M,HIS,Y,16/FA,,
3341208,M,WHI,,17/FA,,
3322837,M,WHI,,,,
3331401,F,MUL,,16/FA,,
3347670,M,WHI,,18/FA,,
3331860,M,WHI,,16/FA,,
3350227,F,MUL,,18/FA,,
3316423,F,WHI,,,16/FA,Y
3343528,F,HIS,Y,17/FA,,Y
3353208,F,HIS,Y,,18/FA,Y
3339932,F,WHI,,17/FA,,
3331203,F,WHI,,16/FA,,
3332328,F,WHI,,16/FA,,
3346291,F,WHI,Y,,17/FA,Y
3344064,M,HIS,,17/FA,,
3322990,M,WHI,,15/FA,,
3347001,F,WHI,,18/FA,,
3351043,F,HIS,,18/FA,,Y
3326230,F,WHI,,15/FA,,Y
3324572,F,WHI,,15/FA,,
3335953,M,WHI,,16/FA,,
3332252,F,HIS,,16/FA,,Y
3350029,M,WHI,,18/FA,,
2910675,M,WHI,,15/FA,,
3338530,F,MUL,,17/FA,,
3348865,F,WHI,,18/FA,,
