STH.STUDENT,STH.TERM,SWU.STH.CODE.DESC,SWU.STH.REASON.DESC,SWU.12DH.START.TERM,SWU.12DH.ADMIT.STATUS,SWU.12DH.ORIG.START.TERM,SWU.12DH.ORIG.ADMIT.STATUS,SWU.LAST.T.TERM,SWU.12TH.FY.COHORT
3308769,16/FA,Study Abroad,USA,13/FA,1,,,16/SP,13/FA
3304910,16/FA,Study Abroad,Spain,14/FA,1,,,17/FA,14/FA
3305770,16/FA,Study Abroad,Argentina,14/FA,1,,,18/SP,14/FA
3305213,16/FA,Study Abroad,USA,13/FA,1,,,17/SP,13/FA
3323393,16/FA,Study Abroad,Italy,15/FA,1,,,19/SP,15/FA
3326750,16/FA,LOA-Student,LOA-Student,15/FA,1,,,16/SP,15/FA
3315767,16/FA,LOA-Student,LOA-Student,14/FA,1,,,16/SP,14/FA
3026467,16/FA,LOA-Student,LOA-Student,12/FA,1,,,17/S1,12/FA
3309211,16/FA,LOA-Student,,13/FA,2,,,17/SP,
3307102,16/FA,LOA-Student,LOA-Student,,,,,18/S2,
3324380,16/FA,LOA-Student,LOA-Student,15/FA,1,,,16/SP,15/FA
3326369,16/FA,LOA-Student,LOA-Student,15/FA,1,,,19/FA,15/FA
3315814,16/FA,LOA-Student,LOA-Student,14/FA,1,,,15/SP,14/FA
3316827,16/FA,Study Abroad,China,14/FA,1,,,18/SP,14/FA
3316236,16/FA,Study Abroad,Hungary,14/FA,1,,,18/SP,14/FA
3316366,16/FA,Study Abroad,Argentina,14/FA,1,,,17/SP,14/FA
3326582,16/FA,LOA-Student,LOA-Student,15/FA,2,,,16/SP,
3327042,16/FA,LOA-Student,LOA-Student,15/FA,1,,,16/SP,15/FA
3316698,16/FA,Study Abroad,South Korea,14/FA,1,,,18/SP,14/FA
3311731,16/FA,LOA-Student,,13/FA,2,,,15/FA,
2999680,16/FA,Study Abroad,Uruguay,13/FA,1,,,17/SP,13/FA
3315391,16/FA,Study Abroad,Spain,14/FA,1,,,18/SP,14/FA
3288551,16/FA,Study Abroad,China,13/FA,1,,,17/SP,13/FA
3000662,16/FA,Study Abroad,Switzerland,13/FA,1,,,17/SP,13/FA
3276796,16/FA,Study Abroad,USA,13/FA,1,,,17/SP,13/FA
3316420,16/FA,Study Abroad,Taiwan,14/FA,1,,,18/SP,14/FA
2924081,16/FA,LOA-Student,LOA-Student,13/FA,1,,,19/SP,13/FA
3323736,17/FA,Study Abroad,France,15/FA,1,,,19/SP,15/FA
3318704,17/FA,Study Abroad,USA,15/FA,1,,,18/FA,15/FA
3316340,17/FA,LOA-Student,LOA-Student,14/FA,1,,,17/SP,14/FA
3308189,17/FA,Study Abroad,Australia,19/SP,3,13/SP,2,19/SP,
3323234,17/FA,Study Abroad,Morocco,15/FA,1,,,19/SP,15/FA
3335745,17/FA,LOA-Student,LOA-Student,16/FA,1,,,17/SP,16/FA
3316981,17/FA,Study Abroad,Greece,14/FA,1,,,18/SP,14/FA
3324166,17/FA,Study Abroad,Argentina,15/FA,1,,,19/SP,15/FA
3316765,17/FA,LOA-Student,LOA-Student,14/FA,1,,,18/SP,14/FA
3322063,17/FA,LOA-Student,LOA-Student,15/FA,1,,,19/FA,15/FA
3325611,17/FA,LOA-Student,LOA-Student,15/FA,1,,,16/FA,15/FA
3324588,17/FA,Study Abroad,Morocco,15/FA,1,,,19/SP,15/FA
3330628,17/FA,LOA-Student,LOA-Student,16/FA,1,,,17/S1,16/FA
3324301,17/FA,Study Abroad,South Korea,15/FA,1,,,19/SP,15/FA
3324191,17/FA,LOA-Student,LOA-Student,15/SP,2,,,18/SP,
3326405,17/FA,Study Abroad,United Kingdom,15/FA,1,,,19/SP,15/FA
3324663,17/FA,Study Abroad,United Kingdom,15/FA,1,,,17/SP,15/FA
3332635,17/FA,LOA-Student,LOA-Student,16/FA,1,,,17/SP,16/FA
3326771,17/FA,LOA-Student,LOA-Student,15/FA,1,,,17/SP,15/FA
3322305,17/FA,LOA-Student,LOA-Student,17/SP,2,,,17/SP,
3323582,17/FA,Study Abroad,Argentina,15/FA,1,,,19/SP,15/FA
3324525,17/FA,LOA-Student,LOA-Student,15/FA,1,,,17/SP,15/FA
3316546,17/FA,Study Abroad,Australia,15/FA,2,,,18/SP,
3316174,17/FA,Study Abroad,Peru,14/FA,1,,,18/SP,14/FA
3316260,17/FA,LOA-Student,LOA-Student,14/FA,1,,,17/SP,14/FA
3316619,17/FA,Study Abroad,Argentina,14/FA,1,,,18/S3,14/FA
3322296,17/FA,Study Abroad,Australia,15/FA,1,,,19/SP,15/FA
3317871,17/FA,Study Abroad,Madagascar,15/FA,1,,,19/SP,15/FA
3324428,17/FA,Study Abroad,Switzerland,15/FA,1,,,19/SP,15/FA
3308769,17/SP,Study Abroad,USA,13/FA,1,,,16/SP,13/FA
3330458,17/SP,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
3308189,17/SP,Study Abroad,Australia,19/SP,3,13/SP,2,19/SP,
3317494,17/SP,Study Abroad,USA,14/FA,1,,,19/SP,14/FA
3317331,17/SP,Study Abroad,Spain,14/FA,1,,,18/SP,14/FA
3326750,17/SP,LOA-Student,LOA-Student,15/FA,1,,,16/SP,15/FA
3315767,17/SP,LOA-Student,LOA-Student,14/FA,1,,,16/SP,14/FA
3318858,17/SP,LOA-Student,LOA-Student,14/FA,1,,,16/SP,14/FA
3310393,17/SP,Study Abroad,Italy,13/FA,2,,,16/FA,
3316036,17/SP,Study Abroad,Spain,14/FA,1,,,18/SP,14/FA
3315824,17/SP,Study Abroad,Spain,14/FA,1,,,18/SP,14/FA
3325611,17/SP,LOA-Student,LOA-Student,15/FA,1,,,16/FA,15/FA
2822930,17/SP,LOA-Student,LOA-Student,12/FA,1,,,17/FA,12/FA
3315814,17/SP,LOA-Student,LOA-Student,14/FA,1,,,15/SP,14/FA
2775498,17/SP,LOA-Student,LOA-Student,11/FA,1,,,16/FA,11/FA
3316858,17/SP,Study Abroad,Germany,14/FA,1,,,18/SP,14/FA
3299816,17/SP,Study Abroad,New Zealand,13/FA,1,,,16/FA,13/FA
3326479,17/SP,Study Abroad,Ireland,15/FA,1,,,19/SP,15/FA
3326582,17/SP,LOA-Student,LOA-Student,15/FA,2,,,16/SP,
3327042,17/SP,LOA-Student,LOA-Student,15/FA,1,,,16/SP,15/FA
